x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.498596,0.945511,-0.019699,1.069101,90552.331247,2001-01-01 19:09:12.331 -0600
0.493484,0.914581,0.004227,1.039232,90552.301461,2001-01-01 19:09:12.301 -0600
0.431885,0.890121,0.016251,0.989497,90552.271554,2001-01-01 19:09:12.272 -0600
0.419250,0.893494,0.010971,0.987027,90552.241769,2001-01-01 19:09:12.242 -0600
0.497635,0.975540,0.003403,1.095140,90552.211831,2001-01-01 19:09:12.212 -0600
0.608978,0.988342,-0.028778,1.161251,90552.182046,2001-01-01 19:09:12.182 -0600
0.591293,1.015884,-0.016830,1.175556,90552.152139,2001-01-01 19:09:12.152 -0600
0.460770,0.926468,0.006012,1.034740,90552.122354,2001-01-01 19:09:12.122 -0600
0.279358,0.790894,0.018112,0.838976,90552.092447,2001-01-01 19:09:12.092 -0600
0.193390,0.711975,0.001663,0.737774,90552.062661,2001-01-01 19:09:12.063 -0600
0.264221,0.707413,-0.029480,0.755721,90552.032754,2001-01-01 19:09:12.033 -0600
0.488770,0.785049,-0.034851,0.925426,90552.002969,2001-01-01 19:09:12.003 -0600
0.633270,0.920135,-0.015396,1.117102,90551.973062,2001-01-01 19:09:11.973 -0600
0.584457,1.046219,0.058228,1.199814,90551.943277,2001-01-01 19:09:11.943 -0600
0.533020,0.990997,0.029663,1.125640,90551.913369,2001-01-01 19:09:11.913 -0600
0.464249,1.004486,-0.153336,1.117153,90551.883584,2001-01-01 19:09:11.884 -0600
0.462891,1.128098,-0.293793,1.254267,90551.853691,2001-01-01 19:09:11.854 -0600
0.417725,0.923721,-0.287521,1.053766,90551.823906,2001-01-01 19:09:11.824 -0600
0.364609,0.866501,-0.345901,1.001704,90551.793968,2001-01-01 19:09:11.794 -0600
0.360580,0.813568,-0.358765,0.959491,90551.764183,2001-01-01 19:09:11.764 -0600
0.391434,0.806320,-0.343506,0.959880,90551.734276,2001-01-01 19:09:11.734 -0600
0.415253,0.828278,-0.359146,0.993712,90551.704491,2001-01-01 19:09:11.704 -0600
0.399490,0.851440,-0.345215,1.001857,90551.674583,2001-01-01 19:09:11.675 -0600
0.361404,0.838791,-0.291656,0.958774,90551.644798,2001-01-01 19:09:11.645 -0600
0.342316,0.821014,-0.260086,0.926763,90551.614891,2001-01-01 19:09:11.615 -0600
0.398346,0.845245,-0.250946,0.967519,90551.585106,2001-01-01 19:09:11.585 -0600
0.486755,0.901016,-0.234161,1.050520,90551.555199,2001-01-01 19:09:11.555 -0600
0.522964,0.943024,-0.217957,1.100132,90551.525413,2001-01-01 19:09:11.525 -0600
0.418472,0.923203,-0.162476,1.026557,90551.495506,2001-01-01 19:09:11.496 -0600
0.319794,0.853622,-0.127579,0.920443,90551.465721,2001-01-01 19:09:11.466 -0600
0.412460,0.908340,-0.147125,1.008391,90551.435814,2001-01-01 19:09:11.436 -0600
0.636871,0.915710,-0.187515,1.131058,90551.406029,2001-01-01 19:09:11.406 -0600
0.527206,0.983856,-0.153534,1.126717,90551.376121,2001-01-01 19:09:11.376 -0600
0.186401,0.888382,-0.060577,0.909746,90551.346336,2001-01-01 19:09:11.346 -0600
0.108368,0.803604,0.061279,0.813190,90551.316429,2001-01-01 19:09:11.316 -0600
0.255814,0.892990,0.156586,0.942014,90551.286644,2001-01-01 19:09:11.287 -0600
0.441162,0.750763,0.220596,0.898294,90551.256737,2001-01-01 19:09:11.257 -0600
0.632263,1.130783,-0.016113,1.295641,90551.226952,2001-01-01 19:09:11.227 -0600
0.750626,1.131454,0.136169,1.364614,90551.197044,2001-01-01 19:09:11.197 -0600
0.677780,1.006088,0.176132,1.225815,90551.167259,2001-01-01 19:09:11.167 -0600
0.635834,0.922958,0.072525,1.123119,90551.137352,2001-01-01 19:09:11.137 -0600
0.592300,0.891342,0.007614,1.070219,90551.107567,2001-01-01 19:09:11.108 -0600
0.551117,0.869080,0.001328,1.029092,90551.077660,2001-01-01 19:09:11.078 -0600
0.505249,0.794388,0.001694,0.941452,90551.047874,2001-01-01 19:09:11.048 -0600
0.467056,0.759247,0.015244,0.891532,90551.017967,2001-01-01 19:09:11.018 -0600
0.486664,0.690277,0.007568,0.844619,90550.988182,2001-01-01 19:09:10.988 -0600
0.566086,0.700699,0.046066,0.901972,90550.958305,2001-01-01 19:09:10.958 -0600
0.644012,0.715759,0.088226,0.966875,90550.928520,2001-01-01 19:09:10.929 -0600
0.686356,0.665710,0.151581,0.968107,90550.898613,2001-01-01 19:09:10.899 -0600
0.713791,0.603531,0.269012,0.972684,90550.868828,2001-01-01 19:09:10.869 -0600
0.798325,0.544861,0.386627,1.040998,90550.838951,2001-01-01 19:09:10.839 -0600
0.935242,0.660110,0.356705,1.199025,90550.809165,2001-01-01 19:09:10.809 -0600
0.932358,0.697693,0.377106,1.224040,90550.779258,2001-01-01 19:09:10.779 -0600
0.759644,0.649979,0.448456,1.095739,90550.749473,2001-01-01 19:09:10.749 -0600
0.680832,0.671844,0.472900,1.067025,90550.719566,2001-01-01 19:09:10.720 -0600
0.517349,0.703476,0.443817,0.979542,90550.689781,2001-01-01 19:09:10.690 -0600
0.279953,0.806168,0.412491,0.947855,90550.659873,2001-01-01 19:09:10.660 -0600
0.291611,0.923660,0.239471,0.997763,90550.630088,2001-01-01 19:09:10.630 -0600
0.544159,0.990341,0.063995,1.131804,90550.600181,2001-01-01 19:09:10.600 -0600
0.658981,1.031906,0.175613,1.236902,90550.570396,2001-01-01 19:09:10.570 -0600
0.603439,1.047653,0.318298,1.250212,90550.540519,2001-01-01 19:09:10.541 -0600
0.685196,1.112793,0.265869,1.333600,90550.510734,2001-01-01 19:09:10.511 -0600
0.881119,0.918243,0.220947,1.291650,90550.480827,2001-01-01 19:09:10.481 -0600
0.884979,0.786850,0.227631,1.205876,90550.451042,2001-01-01 19:09:10.451 -0600
